ModelYear,AutoIcevMpg,LtTrkIcevMpg,AutoHevMpg,LtTrkHevMpg,AutoPhevMpg,AutoPhevMpkwh,AutoPhevRange,LtTrkPhevMpg,LtTrkPhevMpkwh,LtTrkPhevRange,AutoBevMpkwh,AutoBevRange,LtTrkBevMpkwh,LtTrkBevRange
1975,14,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,15.5,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,16.2,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,17.8,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,17.9,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,21.1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,22.6,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,23.8,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,23.7,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,24.3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,24.9,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,25.9,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,26,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,26.5,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,26.2,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,25.9,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,26.1,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,26,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,26.3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,26.2,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,26.5,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,26.5,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,26.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,26.5,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,26.1,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,26.1,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,26.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,26.4,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,26.5,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,26.6,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,26.9,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,27.2,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,27.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,27.8,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,27.9,20.5,NA,NA,56.6,3,25,41.7,2,25,NA,NA,NA,NA
2010,29.2,20.9,46,28,56.6,3,25,41.7,2,25,3,50,2,25
2011,30.4,21.7,48,29.6,57.98,3,25,43.08,2,25,3,50,2,25
2012,31.5,22.5,50,31.2,59.36,3,25,44.46,2,25,3,50,2,25
